ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP64,Thames Ditton / Weston Green Residents' Association,Political Party,Registered,Great Britain,,,,,17/02/2000,True,False,False,False,False,,,31/12
PP8030,Thanet Independents,Political Party,Registered,Great Britain,,,,,18/02/2019,True,False,False,False,False,,,31/12
PP2644,The Beverley Party,Political Party,Registered,Great Britain,,,,,01/04/2015,True,False,False,False,False,,,31/12
PP660,The Borders Party,Political Party,Registered,Great Britain,,,,,26/03/2007,False,True,False,False,False,,,31/12
PP6810,the Borough first,Political Party,Registered,Great Britain,,,,,05/07/2018,True,False,False,False,False,,,31/12
PP7931,The Brexit Party,Political Party,Registered,Great Britain,,,,,05/02/2019,True,True,True,True,False,,,31/12
PP9208,The Citizens Movement Party UK,Political Party,Registered,Great Britain,,,,,10/09/2019,True,True,True,False,False,,,31/12
PP2117,The Common People,Political Party,Registered,Great Britain,,,,,12/06/2015,True,True,True,True,False,,,31/12
PP7921,The Compass Party,Political Party,Registered,Great Britain,,,,,18/02/2019,True,True,True,False,False,,,31/12
PP10254,The Constitution and Reform Party,Political Party,Registered,Great Britain,,,,,09/10/2019,True,False,False,False,False,,,31/12
PP4186,The Cynon Valley Party,Political Party,Registered,Great Britain,,,,,24/06/2016,False,False,True,False,False,,,31/12
PP1813,The Democratic Party,Political Party,Registered,Great Britain,,,,,06/07/2012,True,True,True,True,False,,,31/12
PP1983,The Entertainment Party,Political Party,Registered,Great Britain,,,,,05/12/2012,True,True,True,False,False,,,31/12
PP6661,The For Britain Movement,Political Party,Registered,Great Britain,,,,,09/03/2018,True,True,True,True,False,,,31/12
PP902,The House Party - Homes For Londoners,Political Party,Registered,Great Britain,,,,,02/02/2011,True,True,True,False,False,,,31/12
PP865,The Justice & Anti-Corruption Party,Political Party,Registered,Great Britain,,,,,13/04/2010,True,True,True,False,False,,,31/12
PP54,The Liberal Party,Political Party,Registered,Great Britain,,,,,25/02/1999,True,True,True,False,False,,,31/12
